Mes,kWh_Medidor_Produccion,kWh_Medidor_Servicios,Produccion_lts_kg
enero,148340.0,,365645
febrero,161773.0,,419403
marzo,151287.0,,422762
abril,213995.0,,1518390
mayo,219258.4,,2413571
junio,256315.0,,2436084
julio,266424.95,,2656123
agosto,238700.0,,2590577
septiembre,256630.0,,2522489
octubre,231633.0,,2279040
noviembre,270285.0,,1575989
diciembre,202899.0,,1094280
enero,61020.0,,249749
febrero,198072.0,,130227
marzo,179748.0,,148828
abril,144900.0,,286814
mayo,142992.0,,405306
junio,153720.0,,368643
julio,180000.0,,368859
agosto,137160.0,,449859
septiembre,179136.0,,373747
octubre,173484.0,,436798
noviembre,179388.0,,357081
diciembre,125748.0,,321269
enero,209360.0,,615394
febrero,359845.0,,549630
marzo,331035.0,,571590
abril,358895.0,,1805204
mayo,362250.4,,2818877
junio,410035.0,,2804727
julio,446424.95,,3024982
agosto,375860.0,,3040436
septiembre,435766.0,,2896236
octubre,405117.0,,2715838
noviembre,449673.0,,1933070
diciembre,328647.0,,1415549
