Fecha,kWh_Medidor_1,kWh_Medidor_2,Produccion_lts_kg,Consumo_Gas_m3,Sopladoras_Activas
2023-01-01,264947.0,0.0,1114850,43.38383,0
2023-02-01,517814.0,0.0,2329571,74.46603,0
2023-03-01,428057.0,0.0,1751127,101.79547,0
2023-04-01,420763.0,0.0,2720075,80.06237,0
2023-05-01,406760.0,0.0,1147140,68.74683,0
2023-06-01,396362.0,0.0,2441754,37.76531,0
2023-07-01,500485.0,0.0,2751160,127.90123,0
2023-08-01,479515.0,0.0,3263219,131.69097,0
2023-09-01,430806.0,0.0,2874751,115.90814,0
2023-10-01,350585.0,0.0,2692960,92.036,0
2023-11-01,309975.0,0.0,1379860,88.197,0
2023-12-01,109030.0,0.0,1156484,25.907,0
2024-01-01,296735.0,1373.0,2196843,72.633,0
2024-02-01,347635.0,1352.0,2969960,83.3,0
2024-03-01,319955.0,1863.0,1867230,81.18,0
2024-04-01,313960.0,1863.0,2025427,76.709,0
2024-05-01,370005.0,2052.0,3160491,72.238,0
2024-06-01,249650.0,3948.0,1746477,67.76700000000001,0
2024-07-01,381437.0,3855.0,2603936,63.29600000000001,0
2024-08-01,371130.0,4032.0,1407612,58.825,0
2024-09-01,311615.0,5544.0,2218621,54.354000000000006,0
2024-10-01,374735.0,4932.0,2887852,49.88300000000001,0
2024-11-01,409235.0,5076.0,2949273,45.412000000000006,0
2024-12-01,230130.0,6084.0,1062953,40.941,0
2025-01-01,148340.0,61020.0,365645,67.183,1
2025-02-01,161773.0,198072.0,419403,69.047,1
2025-03-01,151287.0,179748.0,422762,75.359,1
2025-04-01,213995.0,144900.0,1518390,95.974,1
2025-05-01,219258.4,142992.0,2413571,113.788,1
2025-06-01,256315.0,153720.0,2436084,108.104,1
2025-07-01,266424.95,180000.0,2656123,93.186,1
2025-08-01,238700.0,137160.0,2590577,91.877,1
2025-09-01,256630.0,179136.0,2522489,91.804,1
2025-10-01,231633.0,173484.0,2279040,86.868,1
2025-11-01,270285.0,179388.0,1575989,85.439,1
2025-12-01,202899.0,125748.0,1094280,57.181,1
2026-01-01,158465.0,98460.0,931160,60.089,1
2026-02-01,277800.0,160488.0,947482,82.33602,1
2026-03-01,284603.0,160344.0,1232374,115.868,1
2026-04-01,230730.0,131652.0,884860,115.868,1
